Time, Temperature(C), Humidity(%) 
1395910738.2, 25.33, 38.90
1395911047.39, 25.11, 38.90
1395911047.4, 25.33, 38.90
1395911061.11, 25.11, 38.90
1395911061.11, 25.33, 38.90
1395911081.59, 25.33, 38.52
1395911086.35, 25.11, 38.52
1395911086.35, 25.33, 38.52
1395911089.25, 25.11, 38.52
1395911089.26, 25.33, 38.52
1395911094.87, 25.33, 38.90
1395911095.77, 25.11, 38.90
1395911095.78, 25.33, 38.90
1395911097.16, 25.33, 38.52
1395911111.66, 25.11, 38.52
1395911111.67, 25.33, 38.52
1395911137.3, 25.11, 38.52
1395911137.31, 25.33, 38.52
1395911138.62, 25.33, 38.90
1395911139.71, 25.11, 38.90
1395911139.72, 25.33, 38.90
1395911147.38, 25.11, 38.90
1395911147.39, 25.33, 38.90
1395911148.06, 25.11, 38.90
1395911148.07, 25.33, 38.90
1395911164.11, 25.11, 38.90
1395911164.12, 25.33, 38.90
1395911168.04, 25.11, 38.90
1395911168.05, 25.33, 38.90
1395911182.65, 25.11, 38.90
1395911182.66, 25.33, 38.90
1395911184.63, 25.11, 38.90
1395911184.63, 25.33, 38.90
