Time, Temperature(C), Humidity(%) 
1396041115.72, 24.44, 0
1396041115.72, 24.44, -40.20
1396041115.72, 24.44, -40.20
1396041115.72, 24.44, -40.20
1396041115.72, 24.44, -40.20
1396041115.72, 24.44, -40.20
1396041115.72, 24.44, -40.20
1396041115.73, 24.44, -40.20
1396041115.84, 24.67, -40.20
1396041115.85, 24.44, -40.20
1396041115.99, 24.67, -40.20
1396041115.99, 24.44, -40.20
1396041116.43, 24.67, -40.20
1396041116.43, 24.44, -40.20
1396041116.57, 24.67, -40.20
1396041116.58, 24.44, -40.20
1396041116.59, 24.67, -40.20
1396041116.6, 24.44, -40.20
1396041116.64, 24.67, -40.20
1396041116.65, 24.44, -40.20
1396041116.76, 24.67, -40.20
1396041116.77, 24.44, -40.20
1396041116.79, 24.67, -40.20
1396041116.79, 24.44, -40.20
1396041116.8, 24.67, -40.20
1396041116.81, 24.44, -40.20
1396041116.86, 24.67, -40.20
1396041116.87, 24.44, -40.20
1396041116.9, 24.67, -40.20
1396041116.91, 24.44, -40.20
1396041116.95, 24.67, -40.20
1396041116.96, 24.44, -40.20
1396041117.03, 24.67, -40.20
1396041117.03, 24.44, -40.20
1396041117.17, 24.67, -40.20
1396041117.18, 24.44, -40.20
1396041117.23, 24.67, -40.20
1396041117.24, 24.44, -40.20
1396041117.31, 24.67, -40.20
1396041117.32, 24.44, -40.20
1396041117.43, 24.67, -40.20
1396041117.43, 24.44, -40.20
1396041117.51, 24.67, -40.20
1396041117.52, 24.44, -40.20
1396041117.54, 24.67, -40.20
1396041117.55, 24.44, -40.20
1396041117.55, 24.67, -40.20
1396041117.57, 24.44, -40.20
1396041117.63, 24.67, -40.20
1396041117.64, 24.44, -40.20
1396041117.71, 24.67, -40.20
1396041117.73, 24.44, -40.20
1396041117.78, 24.67, -40.20
1396041117.79, 24.44, -40.20
1396041117.79, 24.67, -40.20
1396041117.8, 24.44, -40.20
1396041117.83, 24.67, -40.20
1396041117.83, 24.44, -40.20
1396041117.98, 24.67, -40.20
1396041117.99, 24.44, -40.20
1396041118.01, 24.67, -40.20
1396041118.02, 24.44, -40.20
1396041118.03, 24.67, -40.20
1396041118.04, 24.44, -40.20
1396041118.11, 24.67, -40.20
1396041118.12, 24.44, -40.20
1396041118.15, 24.67, -40.20
1396041118.15, 24.44, -40.20
1396041118.36, 24.67, -40.20
1396041118.37, 24.44, -40.20
1396041118.44, 24.67, -40.20
1396041118.45, 24.44, -40.20
1396041118.47, 24.67, -40.20
1396041118.48, 24.44, -40.20
1396041118.5, 24.67, -40.20
1396041118.52, 24.44, -40.20
1396041118.71, 24.67, -40.20
1396041118.72, 24.44, -40.20
1396041118.77, 24.67, -40.20
1396041118.78, 24.44, -40.20
1396041118.88, 24.67, -40.20
1396041118.89, 24.44, -40.20
1396041118.92, 24.67, -40.20
1396041118.93, 24.44, -40.20
1396041119.02, 24.67, -40.20
1396041119.03, 24.44, -40.20
1396041119.13, 24.67, -40.20
1396041119.14, 24.44, -40.20
1396041119.23, 24.67, -40.20
1396041119.23, 24.44, -40.20
1396041119.33, 24.67, -40.20
1396041119.34, 24.44, -40.20
1396041119.36, 24.67, -40.20
1396041119.37, 24.44, -40.20
1396041119.48, 24.67, -40.20
1396041119.49, 24.44, -40.20
1396041119.52, 24.67, -40.20
1396041119.53, 24.44, -40.20
1396041119.83, 24.67, -40.20
1396041119.84, 24.44, -40.20
1396041119.88, 24.67, -40.20
1396041119.88, 24.44, -40.20
1396041119.91, 24.67, -40.20
1396041119.92, 24.44, -40.20
1396041119.95, 24.67, -40.20
1396041119.96, 24.44, -40.20
1396041119.98, 24.67, -40.20
1396041119.99, 24.44, -40.20
1396041120.11, 24.67, -40.20
1396041120.12, 24.44, -40.20
1396041120.14, 24.67, -40.20
1396041120.15, 24.44, -40.20
